category,precision,recall,f1-score,support
440,0.1764705882352941,0.0133928571428571,0.0248962655601659,224.0
441,0.3181818181818182,0.1346153846153846,0.1891891891891891,52.0
442,0.4558823529411764,0.1648936170212765,0.2421874999999999,188.0
443,0.3095238095238095,0.4227642276422764,0.3573883161512027,123.0
444,0.4390243902439024,0.0845070422535211,0.1417322834645669,213.0
445,0.6153846153846154,0.0473372781065088,0.0879120879120879,169.0
446,0.3902439024390244,0.16,0.226950354609929,100.0
447,0.3515625,0.5,0.4128440366972477,90.0
448,0.25,0.0869565217391304,0.1290322580645161,92.0
449,0.2571428571428571,0.1184210526315789,0.1621621621621621,76.0
450,0.0490196078431372,0.0909090909090909,0.0636942675159235,55.0
451,0.0357142857142857,0.1393442622950819,0.0568561872909699,122.0
